Data,Entrada,Saida,Placa,Marca/Modelo,Entrada_Completa,Saida_Completa,Duracao_temp,Marca,Modelo,Duracao,Mes,Hora_Entrada,Dia_Semana,Dia_Semana_PT
12/03/2025,06:01,16:50,ALC1D23,Toyota/Corolla,2025-03-12 06:01:00,2025-03-12 16:50:00,0 days 10:49:00,0,1,10.816666666666666,3,6,Wednesday,Quarta
12/03/2025,06:02,19:00,JDL2M45,Chevrolet/Onix,2025-03-12 06:02:00,2025-03-12 19:00:00,0 days 12:58:00,0,1,12.966666666666667,3,6,Wednesday,Quarta
12/03/2025,06:18,18:48,QWE3R67,Volkswagen/Polo,2025-03-12 06:18:00,2025-03-12 18:48:00,0 days 12:30:00,0,1,12.5,3,6,Wednesday,Quarta
12/03/2025,06:54,18:48,RTY4U89,Hyundai/HB20,2025-03-12 06:54:00,2025-03-12 18:48:00,0 days 11:54:00,0,1,11.9,3,6,Wednesday,Quarta
12/03/2025,06:27,19:23,UIO5P10,Honda/Civic,2025-03-12 06:27:00,2025-03-12 19:23:00,0 days 12:56:00,0,1,12.933333333333334,3,6,Wednesday,Quarta
12/03/2025,06:43,15:16,ASD6F32,Nissan/Kicks,2025-03-12 06:43:00,2025-03-12 15:16:00,0 days 08:33:00,0,1,8.55,3,6,Wednesday,Quarta
12/03/2025,06:36,16:52,ZXC7V54,Fiat/Fastback,2025-03-12 06:36:00,2025-03-12 16:52:00,0 days 10:16:00,0,1,10.266666666666667,3,6,Wednesday,Quarta
12/03/2025,06:58,17:02,VBN8G76,Renault/Kwid,2025-03-12 06:58:00,2025-03-12 17:02:00,0 days 10:04:00,0,1,10.066666666666666,3,6,Wednesday,Quarta
12/03/2025,06:17,19:45,MNB9H98,Jeep/Compass,2025-03-12 06:17:00,2025-03-12 19:45:00,0 days 13:28:00,0,1,13.466666666666667,3,6,Wednesday,Quarta
12/03/2025,06:47,15:17,POI0J21,Peugeot/208,2025-03-12 06:47:00,2025-03-12 15:17:00,0 days 08:30:00,0,1,8.5,3,6,Wednesday,Quarta
12/03/2025,06:50,15:25,LKM1Z43,Citroen/C3,2025-03-12 06:50:00,2025-03-12 15:25:00,0 days 08:35:00,0,1,8.583333333333334,3,6,Wednesday,Quarta
12/03/2025,06:04,15:44,HGF2X65,BYD/Dolphin,2025-03-12 06:04:00,2025-03-12 15:44:00,0 days 09:40:00,0,1,9.666666666666666,3,6,Wednesday,Quarta
12/03/2025,06:58,19:46,QAZ3W87,Toyota/Etios,2025-03-12 06:58:00,2025-03-12 19:46:00,0 days 12:48:00,0,1,12.8,3,6,Wednesday,Quarta
12/03/2025,09:16,18:04,WSX4E09,Chevrolet/Cruze,2025-03-12 09:16:00,2025-03-12 18:04:00,0 days 08:48:00,0,1,8.8,3,9,Wednesday,Quarta
12/03/2025,09:12,15:17,EDC5R21,Volkswagen/Fox,2025-03-12 09:12:00,2025-03-12 15:17:00,0 days 06:05:00,0,1,6.083333333333333,3,9,Wednesday,Quarta
12/03/2025,08:58,18:41,RFV6T43,Hyundai/Tucson,2025-03-12 08:58:00,2025-03-12 18:41:00,0 days 09:43:00,0,1,9.716666666666667,3,8,Wednesday,Quarta
12/03/2025,08:21,18:13,TGB7Y65,Honda/Fit,2025-03-12 08:21:00,2025-03-12 18:13:00,0 days 09:52:00,0,1,9.866666666666667,3,8,Wednesday,Quarta
12/03/2025,09:36,17:12,YHN8U87,Nissan/March,2025-03-12 09:36:00,2025-03-12 17:12:00,0 days 07:36:00,0,1,7.6,3,9,Wednesday,Quarta
12/03/2025,08:07,16:21,UJM9I09,Fiat/Palio,2025-03-12 08:07:00,2025-03-12 16:21:00,0 days 08:14:00,0,1,8.233333333333333,3,8,Wednesday,Quarta
12/03/2025,08:16,17:56,IKL0O21,Renault/Sandero,2025-03-12 08:16:00,2025-03-12 17:56:00,0 days 09:40:00,0,1,9.666666666666666,3,8,Wednesday,Quarta
12/03/2025,09:58,19:11,OLP1P43,Jeep/Renegade,2025-03-12 09:58:00,2025-03-12 19:11:00,0 days 09:13:00,0,1,9.216666666666667,3,9,Wednesday,Quarta
12/03/2025,08:29,15:18,PAS2D65,Peugeot/308,2025-03-12 08:29:00,2025-03-12 15:18:00,0 days 06:49:00,0,1,6.816666666666666,3,8,Wednesday,Quarta
12/03/2025,08:32,15:12,DFG3S87,Citroen/C4,2025-03-12 08:32:00,2025-03-12 15:12:00,0 days 06:40:00,0,1,6.666666666666667,3,8,Wednesday,Quarta
12/03/2025,08:32,18:19,SDF4G09,Ford/Focus,2025-03-12 08:32:00,2025-03-12 18:19:00,0 days 09:47:00,0,1,9.783333333333333,3,8,Wednesday,Quarta
12/03/2025,08:50,16:37,GHG5H21,Kia/Soul,2025-03-12 08:50:00,2025-03-12 16:37:00,0 days 07:47:00,0,1,7.783333333333333,3,8,Wednesday,Quarta
12/03/2025,08:46,16:30,HJK6J43,Mitsubishi/ASX,2025-03-12 08:46:00,2025-03-12 16:30:00,0 days 07:44:00,0,1,7.733333333333333,3,8,Wednesday,Quarta
12/03/2025,10:00,17:04,JKL7K65,Suzuki/Swift,2025-03-12 10:00:00,2025-03-12 17:04:00,0 days 07:04:00,0,1,7.066666666666666,3,10,Wednesday,Quarta
12/03/2025,10:24,17:00,AJC7M65,Chevrolet/Celta,2025-03-12 10:24:00,2025-03-12 17:00:00,0 days 06:36:00,0,1,6.6,3,10,Wednesday,Quarta
12/03/2025,10:56,18:11,DEF7L65,Fiat/Uno,2025-03-12 10:56:00,2025-03-12 18:11:00,0 days 07:15:00,0,1,7.25,3,10,Wednesday,Quarta
12/03/2025,08:11,19:20,JBL7K65,Ford/Fiesta,2025-03-12 08:11:00,2025-03-12 19:20:00,0 days 11:09:00,0,1,11.15,3,8,Wednesday,Quarta
13/03/2025,06:09,18:02,ALC1D23,Toyota/Corolla,2025-03-13 06:09:00,2025-03-13 18:02:00,0 days 11:53:00,0,1,11.883333333333333,3,6,Thursday,Quinta
13/03/2025,06:13,16:56,JDL2M45,Chevrolet/Onix,2025-03-13 06:13:00,2025-03-13 16:56:00,0 days 10:43:00,0,1,10.716666666666667,3,6,Thursday,Quinta
13/03/2025,06:36,19:01,QWE3R67,Volkswagen/Polo,2025-03-13 06:36:00,2025-03-13 19:01:00,0 days 12:25:00,0,1,12.416666666666666,3,6,Thursday,Quinta
13/03/2025,06:36,17:58,RTY4U89,Hyundai/HB20,2025-03-13 06:36:00,2025-03-13 17:58:00,0 days 11:22:00,0,1,11.366666666666667,3,6,Thursday,Quinta
13/03/2025,06:53,15:31,UIO5P10,Honda/Civic,2025-03-13 06:53:00,2025-03-13 15:31:00,0 days 08:38:00,0,1,8.633333333333333,3,6,Thursday,Quinta
13/03/2025,06:10,15:46,ASD6F32,Nissan/Kicks,2025-03-13 06:10:00,2025-03-13 15:46:00,0 days 09:36:00,0,1,9.6,3,6,Thursday,Quinta
13/03/2025,06:23,17:42,ZXC7V54,Fiat/Fastback,2025-03-13 06:23:00,2025-03-13 17:42:00,0 days 11:19:00,0,1,11.316666666666666,3,6,Thursday,Quinta
13/03/2025,06:10,17:06,VBN8G76,Renault/Kwid,2025-03-13 06:10:00,2025-03-13 17:06:00,0 days 10:56:00,0,1,10.933333333333334,3,6,Thursday,Quinta
13/03/2025,06:20,19:09,MNB9H98,Jeep/Compass,2025-03-13 06:20:00,2025-03-13 19:09:00,0 days 12:49:00,0,1,12.816666666666666,3,6,Thursday,Quinta
