Placa,Dia de Pagamento,Data do Pagamento
ALC1D23,18,13/03/2025
DL2M45,15,12/03/2025
QWE3R67,10,05/03/2025
RTY4U89,5,05/03/2025
UIO5P10,1,01/03/2025
ASD6F32,15,15/03/2025
ZXC7V54,10,10/03/2025
VBN8G76,15,15/03/2025
MNB9H98,15,17/03/2025
POI0J21,5,05/03/2025
LKM1Z43,20,22/03/2025
HGF2X65,20,20/03/2025
QAZ3W87,1,06/03/2025
WSX4E09,20,22/03/2025
EDC5R21,15,15/03/2025
RFV6T43,10,11/03/2025
TGB7Y65,12,15/03/2025
YHN8U87,15,17/03/2025
UJM9I09,5,02/03/2025
IKL0O21,10,13/03/2025
OLP1P43,20,20/03/2025
PAS2D65,15,15/03/2025
DFG3S87,10,10/03/2025
SDF4G09,20,20/03/2025
GHG5H21,5,07/03/2025
HJK6J43,12,16/03/2025
JKL7K65,10,12/03/2025
AJC7M65,10,15/03/2025
DEF7L65,15,15/03/2025
JBL7K65,20,25/03/2025
ALC1D23,18,15/04/2025
DL2M45,15,15/04/2025
QWE3R67,10,11/04/2025
RTY4U89,5,03/04/2025
UIO5P10,1,01/04/2025
ASD6F32,15,15/04/2025
ZXC7V54,10,10/04/2025
VBN8G76,15,16/04/2025
MNB9H98,15,19/04/2025
POI0J21,5,06/04/2025
LKM1Z43,20,25/04/2025
HGF2X65,20,23/04/2025
QAZ3W87,1,05/04/2025
WSX4E09,20,20/04/2025
EDC5R21,15,18/04/2025
RFV6T43,10,11/04/2025
TGB7Y65,12,12/04/2025
YHN8U87,15,19/04/2025
UJM9I09,5,05/04/2025
IKL0O21,10,10/04/2025
OLP1P43,20,20/04/2025
PAS2D65,15,16/04/2025
DFG3S87,10,10/04/2025
SDF4G09,20,15/04/2025
GHG5H21,5,08/04/2025
HJK6J43,12,12/04/2025
JKL7K65,10,13/04/2025
AJC7M65,10,10/04/2025
DEF7L65,15,19/04/2025
JBL7K65,20,20/04/2025
ALC1D23,18,18/05/2025
DL2M45,15,16/05/2025
QWE3R67,10,10/05/2025
RTY4U89,5,06/05/2025
UIO5P10,1,03/05/2025
ASD6F32,15,10/05/2025
ZXC7V54,10,10/05/2025
VBN8G76,15,20/05/2025
MNB9H98,15,15/05/2025
POI0J21,5,10/05/2025
LKM1Z43,20,20/05/2025
HGF2X65,20,20/05/2025
QAZ3W87,1,01/05/2025
WSX4E09,20,22/05/2025
EDC5R21,15,15/05/2025
RFV6T43,10,13/05/2025
TGB7Y65,12,11/05/2025
YHN8U87,15,15/05/2025
UJM9I09,5,01/05/2025
IKL0O21,10,11/05/2025
OLP1P43,20,20/05/2025
PAS2D65,15,13/05/2025
DFG3S87,10,10/05/2025
SDF4G09,20,17/05/2025
GHG5H21,5,05/05/2025
HJK6J43,12,16/05/2025
JKL7K65,10,13/05/2025
AJC7M65,10,10/05/2025
DEF7L65,15,19/05/2025
JBL7K65,20,17/05/2025
ALC1D23,18,21/06/2025
DL2M45,15,15/06/2025
QWE3R67,10,11/06/2025
RTY4U89,5,05/06/2025
UIO5P10,1,01/06/2025
ASD6F32,15,15/06/2025
ZXC7V54,10,10/06/2025
VBN8G76,15,11/06/2025
MNB9H98,15,17/06/2025
POI0J21,5,01/06/2025
LKM1Z43,20,19/06/2025
HGF2X65,20,24/06/2025
QAZ3W87,1,01/06/2025
