Placa,Dia de Pagamento,Data do Pagamento,Data_Limite_Pagamento_DT,Dia_Efetuado,Dia_Limite,Status_Pagamento
ALC1D23,18,13/03/2025,2025-03-13,18,13,Inadimplente
DL2M45,15,12/03/2025,2025-03-12,15,12,Inadimplente
QWE3R67,10,05/03/2025,2025-03-05,10,5,Inadimplente
RTY4U89,5,05/03/2025,2025-03-05,5,5,Em Dia
UIO5P10,1,01/03/2025,2025-03-01,1,1,Em Dia
ASD6F32,15,15/03/2025,2025-03-15,15,15,Em Dia
ZXC7V54,10,10/03/2025,2025-03-10,10,10,Em Dia
VBN8G76,15,15/03/2025,2025-03-15,15,15,Em Dia
MNB9H98,15,17/03/2025,2025-03-17,15,17,Em Dia
POI0J21,5,05/03/2025,2025-03-05,5,5,Em Dia
LKM1Z43,20,22/03/2025,2025-03-22,20,22,Em Dia
HGF2X65,20,20/03/2025,2025-03-20,20,20,Em Dia
QAZ3W87,1,06/03/2025,2025-03-06,1,6,Em Dia
WSX4E09,20,22/03/2025,2025-03-22,20,22,Em Dia
EDC5R21,15,15/03/2025,2025-03-15,15,15,Em Dia
RFV6T43,10,11/03/2025,2025-03-11,10,11,Em Dia
TGB7Y65,12,15/03/2025,2025-03-15,12,15,Em Dia
YHN8U87,15,17/03/2025,2025-03-17,15,17,Em Dia
UJM9I09,5,02/03/2025,2025-03-02,5,2,Inadimplente
IKL0O21,10,13/03/2025,2025-03-13,10,13,Em Dia
OLP1P43,20,20/03/2025,2025-03-20,20,20,Em Dia
PAS2D65,15,15/03/2025,2025-03-15,15,15,Em Dia
DFG3S87,10,10/03/2025,2025-03-10,10,10,Em Dia
SDF4G09,20,20/03/2025,2025-03-20,20,20,Em Dia
GHG5H21,5,07/03/2025,2025-03-07,5,7,Em Dia
HJK6J43,12,16/03/2025,2025-03-16,12,16,Em Dia
JKL7K65,10,12/03/2025,2025-03-12,10,12,Em Dia
AJC7M65,10,15/03/2025,2025-03-15,10,15,Em Dia
DEF7L65,15,15/03/2025,2025-03-15,15,15,Em Dia
JBL7K65,20,25/03/2025,2025-03-25,20,25,Em Dia
ALC1D23,18,15/04/2025,2025-04-15,18,15,Inadimplente
DL2M45,15,15/04/2025,2025-04-15,15,15,Em Dia
QWE3R67,10,11/04/2025,2025-04-11,10,11,Em Dia
RTY4U89,5,03/04/2025,2025-04-03,5,3,Inadimplente
UIO5P10,1,01/04/2025,2025-04-01,1,1,Em Dia
ASD6F32,15,15/04/2025,2025-04-15,15,15,Em Dia
ZXC7V54,10,10/04/2025,2025-04-10,10,10,Em Dia
VBN8G76,15,16/04/2025,2025-04-16,15,16,Em Dia
MNB9H98,15,19/04/2025,2025-04-19,15,19,Em Dia
POI0J21,5,06/04/2025,2025-04-06,5,6,Em Dia
LKM1Z43,20,25/04/2025,2025-04-25,20,25,Em Dia
HGF2X65,20,23/04/2025,2025-04-23,20,23,Em Dia
QAZ3W87,1,05/04/2025,2025-04-05,1,5,Em Dia
WSX4E09,20,20/04/2025,2025-04-20,20,20,Em Dia
EDC5R21,15,18/04/2025,2025-04-18,15,18,Em Dia
RFV6T43,10,11/04/2025,2025-04-11,10,11,Em Dia
TGB7Y65,12,12/04/2025,2025-04-12,12,12,Em Dia
YHN8U87,15,19/04/2025,2025-04-19,15,19,Em Dia
UJM9I09,5,05/04/2025,2025-04-05,5,5,Em Dia
IKL0O21,10,10/04/2025,2025-04-10,10,10,Em Dia
OLP1P43,20,20/04/2025,2025-04-20,20,20,Em Dia
PAS2D65,15,16/04/2025,2025-04-16,15,16,Em Dia
DFG3S87,10,10/04/2025,2025-04-10,10,10,Em Dia
SDF4G09,20,15/04/2025,2025-04-15,20,15,Inadimplente
GHG5H21,5,08/04/2025,2025-04-08,5,8,Em Dia
HJK6J43,12,12/04/2025,2025-04-12,12,12,Em Dia
JKL7K65,10,13/04/2025,2025-04-13,10,13,Em Dia
AJC7M65,10,10/04/2025,2025-04-10,10,10,Em Dia
DEF7L65,15,19/04/2025,2025-04-19,15,19,Em Dia
JBL7K65,20,20/04/2025,2025-04-20,20,20,Em Dia
ALC1D23,18,18/05/2025,2025-05-18,18,18,Em Dia
DL2M45,15,16/05/2025,2025-05-16,15,16,Em Dia
QWE3R67,10,10/05/2025,2025-05-10,10,10,Em Dia
RTY4U89,5,06/05/2025,2025-05-06,5,6,Em Dia
UIO5P10,1,03/05/2025,2025-05-03,1,3,Em Dia
ASD6F32,15,10/05/2025,2025-05-10,15,10,Inadimplente
ZXC7V54,10,10/05/2025,2025-05-10,10,10,Em Dia
VBN8G76,15,20/05/2025,2025-05-20,15,20,Em Dia
MNB9H98,15,15/05/2025,2025-05-15,15,15,Em Dia
POI0J21,5,10/05/2025,2025-05-10,5,10,Em Dia
LKM1Z43,20,20/05/2025,2025-05-20,20,20,Em Dia
HGF2X65,20,20/05/2025,2025-05-20,20,20,Em Dia
QAZ3W87,1,01/05/2025,2025-05-01,1,1,Em Dia
WSX4E09,20,22/05/2025,2025-05-22,20,22,Em Dia
EDC5R21,15,15/05/2025,2025-05-15,15,15,Em Dia
RFV6T43,10,13/05/2025,2025-05-13,10,13,Em Dia
TGB7Y65,12,11/05/2025,2025-05-11,12,11,Inadimplente
YHN8U87,15,15/05/2025,2025-05-15,15,15,Em Dia
UJM9I09,5,01/05/2025,2025-05-01,5,1,Inadimplente
IKL0O21,10,11/05/2025,2025-05-11,10,11,Em Dia
OLP1P43,20,20/05/2025,2025-05-20,20,20,Em Dia
PAS2D65,15,13/05/2025,2025-05-13,15,13,Inadimplente
DFG3S87,10,10/05/2025,2025-05-10,10,10,Em Dia
SDF4G09,20,17/05/2025,2025-05-17,20,17,Inadimplente
GHG5H21,5,05/05/2025,2025-05-05,5,5,Em Dia
HJK6J43,12,16/05/2025,2025-05-16,12,16,Em Dia
JKL7K65,10,13/05/2025,2025-05-13,10,13,Em Dia
AJC7M65,10,10/05/2025,2025-05-10,10,10,Em Dia
DEF7L65,15,19/05/2025,2025-05-19,15,19,Em Dia
JBL7K65,20,17/05/2025,2025-05-17,20,17,Inadimplente
ALC1D23,18,21/06/2025,2025-06-21,18,21,Em Dia
DL2M45,15,15/06/2025,2025-06-15,15,15,Em Dia
QWE3R67,10,11/06/2025,2025-06-11,10,11,Em Dia
RTY4U89,5,05/06/2025,2025-06-05,5,5,Em Dia
UIO5P10,1,01/06/2025,2025-06-01,1,1,Em Dia
ASD6F32,15,15/06/2025,2025-06-15,15,15,Em Dia
ZXC7V54,10,10/06/2025,2025-06-10,10,10,Em Dia
VBN8G76,15,11/06/2025,2025-06-11,15,11,Inadimplente
MNB9H98,15,17/06/2025,2025-06-17,15,17,Em Dia
POI0J21,5,01/06/2025,2025-06-01,5,1,Inadimplente
LKM1Z43,20,19/06/2025,2025-06-19,20,19,Inadimplente
HGF2X65,20,24/06/2025,2025-06-24,20,24,Em Dia
QAZ3W87,1,01/06/2025,2025-06-01,1,1,Em Dia
WSX4E09,20,20/06/2025,2025-06-20,20,20,Em Dia
EDC5R21,15,10/06/2025,2025-06-10,15,10,Inadimplente
RFV6T43,10,10/06/2025,2025-06-10,10,10,Em Dia
TGB7Y65,12,11/06/2025,2025-06-11,12,11,Inadimplente
YHN8U87,15,15/06/2025,2025-06-15,15,15,Em Dia
UJM9I09,5,08/06/2025,2025-06-08,5,8,Em Dia
IKL0O21,10,10/06/2025,2025-06-10,10,10,Em Dia
OLP1P43,20,20/06/2025,2025-06-20,20,20,Em Dia
PAS2D65,15,11/06/2025,2025-06-11,15,11,Inadimplente
DFG3S87,10,05/06/2025,2025-06-05,10,5,Inadimplente
SDF4G09,20,24/06/2025,2025-06-24,20,24,Em Dia
GHG5H21,5,04/06/2025,2025-06-04,5,4,Inadimplente
HJK6J43,12,16/06/2025,2025-06-16,12,16,Em Dia
JKL7K65,10,10/06/2025,2025-06-10,10,10,Em Dia
AJC7M65,10,12/06/2025,2025-06-12,10,12,Em Dia
DEF7L65,15,11/06/2025,2025-06-11,15,11,Inadimplente
JBL7K65,20,23/06/2025,2025-06-23,20,23,Em Dia
ALC1D23,18,22/07/2025,2025-07-22,18,22,Em Dia
DL2M45,15,15/07/2025,2025-07-15,15,15,Em Dia
QWE3R67,10,10/07/2025,2025-07-10,10,10,Em Dia
RTY4U89,5,10/07/2025,2025-07-10,5,10,Em Dia
UIO5P10,1,04/07/2025,2025-07-04,1,4,Em Dia
ASD6F32,15,14/07/2025,2025-07-14,15,14,Inadimplente
ZXC7V54,10,11/07/2025,2025-07-11,10,11,Em Dia
VBN8G76,15,15/07/2025,2025-07-15,15,15,Em Dia
MNB9H98,15,16/07/2025,2025-07-16,15,16,Em Dia
POI0J21,5,01/07/2025,2025-07-01,5,1,Inadimplente
LKM1Z43,20,25/07/2025,2025-07-25,20,25,Em Dia
HGF2X65,20,23/07/2025,2025-07-23,20,23,Em Dia
QAZ3W87,1,01/07/2025,2025-07-01,1,1,Em Dia
WSX4E09,20,25/07/2025,2025-07-25,20,25,Em Dia
EDC5R21,15,15/07/2025,2025-07-15,15,15,Em Dia
RFV6T43,10,10/07/2025,2025-07-10,10,10,Em Dia
TGB7Y65,12,10/07/2025,2025-07-10,12,10,Inadimplente
YHN8U87,15,20/07/2025,2025-07-20,15,20,Em Dia
UJM9I09,5,10/07/2025,2025-07-10,5,10,Em Dia
IKL0O21,10,14/07/2025,2025-07-14,10,14,Em Dia
OLP1P43,20,24/07/2025,2025-07-24,20,24,Em Dia
